"elev","temp","hum","site_id","trt","date_mdy"
-0.551555055135023,-1.29466085145918,1.08668733464201,"9757 _ 1 _ 2023","BU","2023-04-19"
-1.74912742901634,0.332517330998308,-0.424835108585756,"10024 _ 1 _ 2023","BS","2023-05-22"
0.0455605170649014,-1.6430308459193,1.11071921559245,"10078 _ 1 _ 2023","HB","2023-03-15"
1.59593960548448,-0.78807281784842,1.27728501114551,"10153 _ 1 _ 2023","BS","2023-05-04"
0.55800943653841,-0.837425233730272,1.18115748734374,"10185 _ 1 _ 2023","BS","2023-04-10"
0.10748071395669,-0.969515523296401,1.2275638781446,"10258 _ 1 _ 2023","BS","2023-03-20"
1.39868938111736,-1.10160581286253,0.868743034988009,"10302 _ 1 _ 2023","UU","2023-05-01"
1.85766072030624,-0.296000200673494,1.04276700049121,"10399 _ 1 _ 2023","HU","2023-05-09"
0.471536575531819,0.540087786030792,-0.988341282596107,"10403 _ 1 _ 2023","BS","2023-03-22"
-0.598629038641566,-0.563083863092927,-0.0718150642792696,"10422 _ 1 _ 2023","BS","2023-03-30"
1.70287941584176,-0.876616858107027,1.65599430750247,"10439 _ 1 _ 2023","UU","2023-05-04"
0.596896640304699,-0.309064075465756,-0.88226953219416,"10444 _ 1 _ 2023","HU","2023-03-22"
-0.493004229780073,-2.0828479639252,1.07425705139178,"10467 _ 1 _ 2023","HB","2023-03-14"
0.954300743340852,-0.576147737885179,-0.17291470138113,"10488 _ 1 _ 2023","HB","2023-03-21"
1.97841572147521,-0.165361452750948,0.226511733726208,"10498 _ 1 _ 2023","HB","2023-05-10"
-1.14775984808883,-1.44126655746114,1.56898232475087,"10506 _ 1 _ 2023","BS","2023-03-13"
0.510679616164979,-1.18869831147755,0.222368305976131,"10550 _ 1 _ 2023","BS","2023-03-30"
1.18736812907164,0.905876280213919,-0.577313249788561,"10553 _ 1 _ 2023","HB","2023-05-10"
1.25593240939641,-1.56319605552219,0.965699244339786,"10597 _ 1 _ 2023","HB","2023-03-23"
-0.122260792504621,-0.960806273434897,0.191706940625569,"10956 _ 1 _ 2023","BS","2023-03-28"
0.812567119087427,-0.452766698180554,-0.152197562630747,"10963 _ 1 _ 2023","UU","2023-03-21"
1.74202245647492,-0.0724627875615833,0.354129308428553,"10965 _ 1 _ 2023","HB","2023-05-09"
1.45625267616613,0.558957827397384,-0.0436397555787507,"10968 _ 1 _ 2023","HU","2023-05-03"
0.127435989573602,-1.39626876651005,1.40075915809778,"11079 _ 1 _ 2023","HB","2023-03-20"
0.00616931467086766,1.28037402425855,-0.800229662742654,"12033 _ 1 _ 2023","BU","2023-04-26"
